Date,GMSL,CO2 conc.,CO2 emissions,Long-run NO2 concentration,Per-capita NO2 emissions in CO2 equivalents,Long-run CH4 concentration,Per-capita methane emissions in CO2 equivalents,Global avg temp. anomaly relative to 1961-1990,Sea surface temperature anomaly (relative to 1961-90 average),Sea surface temperature anomaly (relative to 1961-90 average) trend,Sea surface temperature anomaly (relative to 1961-90 average) anomaly,Nino 1.2,Nino 3,Nino 3.4,Nino 3.4 trend,Nino 4,North Sea Ice Extent Avg,North Sea Ice Extent Min,South Sea Ice Extent Avg trend ,South Sea Ice Extent Max,South Sea Ice Extent Max trend,South Sea Ice Extent Min,South Sea Ice Extent Avg,South Sea Ice Extent Avg Raw,South Sea Ice Extent Raw Avg trend
31/01/1880,-180.2362833,287.77072,858055700,275.66,0.168686,845.19,1.0906272,-0.31583205,-0.2034,-0.567855381,-0.418,24.29,24.57,25.58,-0.821953987,27.69,17.60408733,15.35474561,10.97771037,18.80072895,17.19330468,3.751962997,12.24182627,12.29484103,10.69267441
29/02/1880,-179.6365151,287.9010869,860548141.7,275.6725,0.16876425,845.2808333,1.091155558,-0.308866506,-0.199175,-0.568048332,-0.410666667,26.5,25.73,26.03,-0.821442653,27.75,17.59979082,15.34826087,10.97813713,18.80049034,17.19420629,3.751442029,12.24133261,12.29462286,10.6935834
31/03/1880,-179.0367469,288.0314539,863040583.3,275.685,0.1688425,845.3716667,1.091683917,-0.301900962,-0.19495,-0.568241283,-0.403333333,26.4,26.43,26.63,-0.820931318,27.88,17.59549432,15.34177614,10.97856389,18.80025172,17.19510789,3.750921061,12.24083895,12.2944047,10.69449239
30/04/1880,-178.4369787,288.1618208,865533025,275.6975,0.16892075,845.4625,1.092212275,-0.294935417,-0.190725,-0.568434234,-0.396,25.29,26.88,27.2,-0.820419983,28.07,17.59119781,15.3352914,10.97899064,18.80001311,17.19600949,3.750400093,12.24034528,12.29418654,10.69540137
31/05/1880,-177.8372105,288.2921878,868025466.7,275.71,0.168999,845.5533333,1.092740633,-0.287969873,-0.1865,-0.568627185,-0.388666667,24.16,26.36,27.15,-0.819908648,28.21,17.58690131,15.32880666,10.9794174,18.79977449,17.19691109,3.749879124,12.23985162,12.29396837,10.69631036
30/06/1880,-177.2374423,288.4225547,870517908.3,275.7225,0.16907725,845.6441667,1.093268992,-0.281004329,-0.182275,-0.568820136,-0.381333333,22.59,25.8,27.08,-0.819397313,28.1,17.5826048,15.32232193,10.97984416,18.79953587,17.19781269,3.749358156,12.23935796,12.29375021,10.69721934
31/07/1880,-176.6376742,288.5529217,873010350,275.735,0.1691555,845.735,1.09379735,-0.274038785,-0.17805,-0.569013088,-0.374,22.04,25.14,26.7,-0.818885978,28.12,17.5783083,15.31583719,10.98027092,18.79929726,17.19871429,3.748837188,12.23886429,12.29353205,10.69812833
31/08/1880,-176.037906,288.6832886,875502791.7,275.7475,0.16923375,845.8258333,1.094325708,-0.267073241,-0.173825,-0.569206039,-0.366666667,21.25,24.91,26.63,-0.818374644,28.05,17.57401179,15.30935245,10.98069767,18.79905864,17.19961589,3.74831622,12.23837063,12.29331388,10.69903731
30/09/1880,-175.4381378,288.8136555,877995233.3,275.76,0.169312,845.9166667,1.094854067,-0.260107697,-0.1696,-0.56939899,-0.359333333,21.29,25.15,26.72,-0.817863309,28.13,17.56971528,15.30286772,10.98112443,18.79882002,17.20051749,3.747795251,12.23787697,12.29309572,10.6999463
31/10/1880,-174.8383696,288.9440225,880487675,275.7725,0.16939025,846.0075,1.095382425,-0.253142153,-0.165375,-0.569591941,-0.352,21.7,25.27,26.9,-0.817351974,28.38,17.56541878,15.29638298,10.98155119,18.79858141,17.20141909,3.747274283,12.2373833,12.29287755,10.70085528
