Date,GMSL (Church & White 2011),Long-run CO2 concentration,CO2 Global Emissions,Long-run N2O concentration,Per-capita N2O emissions in CO2 equivalents,Per-capita CH4 emissions in CO2 equivalents,Global land avg temp. anomaly (relative to 1961-90 average),Global Sea surface temp. anomaly (relative to 1961-90 average),Artic Sea Ice Extent Avg,Antartica Sea Ice Extent Avg,Nino Index 1.2,Nino Index 3
31/01/1880,-180.2362833,287.77072,858055700,275.66,0.168686,1.0906272,-0.31583205,-0.2034,17.60408733,12.24182627,24.29,24.57
29/02/1880,-179.6365151,287.9010869,860548141.7,275.6725,0.16876425,1.091155558,-0.308866506,-0.199175,17.59979082,12.24133261,26.5,25.73
31/03/1880,-179.0367469,288.0314539,863040583.3,275.685,0.1688425,1.091683917,-0.301900962,-0.19495,17.59549432,12.24083895,26.4,26.43
30/04/1880,-178.4369787,288.1618208,865533025,275.6975,0.16892075,1.092212275,-0.294935417,-0.190725,17.59119781,12.24034528,25.29,26.88
31/05/1880,-177.8372105,288.2921878,868025466.7,275.71,0.168999,1.092740633,-0.287969873,-0.1865,17.58690131,12.23985162,24.16,26.36
30/06/1880,-177.2374423,288.4225547,870517908.3,275.7225,0.16907725,1.093268992,-0.281004329,-0.182275,17.5826048,12.23935796,22.59,25.8
31/07/1880,-176.6376742,288.5529217,873010350,275.735,0.1691555,1.09379735,-0.274038785,-0.17805,17.5783083,12.23886429,22.04,25.14
31/08/1880,-176.037906,288.6832886,875502791.7,275.7475,0.16923375,1.094325708,-0.267073241,-0.173825,17.57401179,12.23837063,21.25,24.91
30/09/1880,-175.4381378,288.8136555,877995233.3,275.76,0.169312,1.094854067,-0.260107697,-0.1696,17.56971528,12.23787697,21.29,25.15
31/10/1880,-174.8383696,288.9440225,880487675,275.7725,0.16939025,1.095382425,-0.253142153,-0.165375,17.56541878,12.2373833,21.7,25.27
30/11/1880,-174.2386014,289.0743894,882980116.7,275.785,0.1694685,1.095910783,-0.246176608,-0.16115,17.56112227,12.23688964,22.51,25.34
31/12/1880,-173.6388332,289.2047564,885472558.3,275.7975,0.16954675,1.096439142,-0.239211064,-0.156925,17.55682577,12.23639598,22.96,25.2
31/01/1881,-173.039065,289.3351233,887965000,275.81,0.169625,1.0969675,-0.23224552,-0.1527,17.55252926,12.23590231,24.7,25.69
28/02/1881,-174.584204,289.4654903,892125271.7,275.8233333,0.169660583,1.097384017,-0.237519233,-0.157941667,17.54823276,12.23540865,26.09,26.3
31/03/1881,-176.1293429,289.5958572,896285543.3,275.8366667,0.169696167,1.097800533,-0.242792947,-0.163183333,17.54393625,12.23491499,26.4,27.14
30/04/1881,-177.6744819,289.7262242,900445815,275.85,0.16973175,1.09821705,-0.24806666,-0.168425,17.53963975,12.23442132,25.49,27.55
31/05/1881,-179.2196208,289.8565911,904606086.7,275.8633333,0.169767333,1.098633567,-0.253340373,-0.173666667,17.53534324,12.23392766,24.41,26.97
30/06/1881,-180.7647598,289.9869581,908766358.3,275.8766667,0.169802917,1.099050083,-0.258614087,-0.178908333,17.53104674,12.233434,23.14,26.51
31/07/1881,-182.3098988,290.117325,912926630,275.89,0.1698385,1.0994666,-0.2638878,-0.18415,17.52675023,12.23294033,21.76,25.35
31/08/1881,-183.8550377,290.247692,917086901.7,275.9033333,0.169874083,1.099883117,-0.269161513,-0.189391667,17.52245373,12.23244667,20.48,24.68
30/09/1881,-185.4001767,290.3780589,921247173.3,275.9166667,0.169909667,1.100299633,-0.274435227,-0.194633333,17.51815722,12.23195301,20.13,24.49
31/10/1881,-186.9453156,290.5084259,925407445,275.93,0.16994525,1.10071615,-0.27970894,-0.199875,17.51386072,12.23145934,21.03,24.5
30/11/1881,-188.4904546,290.6387928,929567716.7,275.9433333,0.169980833,1.101132667,-0.284982653,-0.205116667,17.50956421,12.23096568,21.73,24.37
31/12/1881,-190.0355935,290.7691598,933727988.3,275.9566667,0.170016417,1.101549183,-0.290256367,-0.210358333,17.5052677,12.23047202,22.53,24.66
31/01/1882,-191.5807325,290.8995267,937888260,275.97,0.170052,1.1019657,-0.29553008,-0.2156,17.5009712,12.22997835,24.01,24.97
28/02/1882,-191.4869821,291.0298936,942857118.3,275.9825,0.170063583,1.102434133,-0.29977544,-0.218416667,17.4966747,12.22948469,25.5,25.61
31/03/1882,-191.3932317,291.1602606,947825976.7,275.995,0.170075167,1.102902567,-0.3040208,-0.221233333,17.49237819,12.22899103,26.12,26.4
30/04/1882,-191.2994813,291.2906275,952794835,276.0075,0.17008675,1.103371,-0.30826616,-0.22405,17.48808168,12.22849736,25.49,27.33
31/05/1882,-191.2057308,291.4209945,957763693.3,276.02,0.170098333,1.103839433,-0.31251152,-0.226866667,17.48378518,12.2280037,24.13,26.82
30/06/1882,-191.1119804,291.5513614,962732551.7,276.0325,0.170109917,1.104307867,-0.31675688,-0.229683333,17.47948868,12.22751004,22.15,25.75
31/07/1882,-191.01823,291.6817284,967701410,276.045,0.1701215,1.1047763,-0.32100224,-0.2325,17.47519217,12.22701637,20.87,24.66
31/08/1882,-190.9244796,291.8120953,972670268.3,276.0575,0.170133083,1.105244733,-0.3252476,-0.235316667,17.47089567,12.22652271,19.75,24.29
30/09/1882,-190.8307292,291.9424622,977639126.7,276.07,0.170144667,1.105713167,-0.32949296,-0.238133333,17.46659916,12.22602905,19.94,24.43
31/10/1882,-190.7369788,292.0728292,982607985,276.0825,0.17015625,1.1061816,-0.33373832,-0.24095,17.46230266,12.22553538,20.55,24.3
30/11/1882,-190.6432283,292.2031961,987576843.3,276.095,0.170167833,1.106650033,-0.33798368,-0.243766667,17.45800615,12.22504172,21,24.09
31/12/1882,-190.5494779,292.3335631,992545701.7,276.1075,0.170179417,1.107118467,-0.34222904,-0.246583333,17.45370965,12.22454806,21.93,24.32
31/01/1883,-190.4557275,292.46393,997514560,276.12,0.170191,1.1075869,-0.3464744,-0.2494,17.44941314,12.22405439,23.5,24.79
28/02/1883,-188.4675333,292.2164775,998507496.7,276.1333333,0.170188167,1.1076012,-0.358628205,-0.258191667,17.44511663,12.22356073,25.23,25.66
31/03/1883,-186.4793392,291.969025,999500433.3,276.1466667,0.170185333,1.1076155,-0.37078201,-0.266983333,17.44082013,12.22306707,25.67,26.57
30/04/1883,-184.491145,291.7215725,1000493370,276.16,0.1701825,1.1076298,-0.382935815,-0.275775,17.43652362,12.2225734,25.13,27.17
31/05/1883,-182.5029508,291.47412,1001486307,276.1733333,0.170179667,1.1076441,-0.39508962,-0.284566667,17.43222712,12.22207974,24.29,26.63
30/06/1883,-180.5147567,291.2266675,1002479243,276.1866667,0.170176833,1.1076584,-0.407243425,-0.293358333,17.42793061,12.22158608,23.01,26.37
31/07/1883,-178.5265625,290.979215,1003472180,276.2,0.170174,1.1076727,-0.41939723,-0.30215,17.4236341,12.22109241,21.43,25.66
31/08/1883,-176.5383683,290.7317625,1004465117,276.2133333,0.170171167,1.107687,-0.431551035,-0.310941667,17.4193376,12.22059875,20.17,24.89
30/09/1883,-174.5501742,290.48431,1005458053,276.2266667,0.170168333,1.1077013,-0.44370484,-0.319733333,17.41504109,12.22010509,20.25,24.66
31/10/1883,-172.56198,290.2368575,1006450990,276.24,0.1701655,1.1077156,-0.455858645,-0.328525,17.41074459,12.21961142,21.45,24.45
30/11/1883,-170.5737858,289.989405,1007443927,276.2533333,0.170162667,1.1077299,-0.46801245,-0.337316667,17.40644808,12.21911776,22.23,24.74
31/12/1883,-168.5855917,289.7419525,1008436863,276.2666667,0.170159833,1.1077442,-0.480166255,-0.346108333,17.40215158,12.2186241,22.62,24.8
31/01/1884,-166.5973975,289.4945,1009429800,276.28,0.170157,1.1077585,-0.49232006,-0.3549,17.39785507,12.21813043,24.57,25.25
29/02/1884,-166.7605919,289.4370521,1010072692,276.2925,0.17014375,1.107753433,-0.490553687,-0.353666667,17.39355857,12.21763677,26.1,26.12
31/03/1884,-166.9237863,289.3796042,1010715583,276.305,0.1701305,1.107748367,-0.488787313,-0.352433333,17.38926206,12.21714311,27.3,27.17
30/04/1884,-167.0869806,289.3221563,1011358475,276.3175,0.17011725,1.1077433,-0.48702094,-0.3512,17.38496556,12.21664944,26.38,27.79
31/05/1884,-167.250175,289.2647083,1012001367,276.33,0.170104,1.107738233,-0.485254567,-0.349966667,17.38066905,12.21615578,25.14,27.35
30/06/1884,-167.4133694,289.2072604,1012644258,276.3425,0.17009075,1.107733167,-0.483488193,-0.348733333,17.37637255,12.21566212,23.42,26.41
31/07/1884,-167.5765638,289.1498125,1013287150,276.355,0.1700775,1.1077281,-0.48172182,-0.3475,17.37207604,12.21516846,21.72,25.84
31/08/1884,-167.7397581,289.0923646,1013930042,276.3675,0.17006425,1.107723033,-0.479955447,-0.346266667,17.36777954,12.21467479,20.91,25.28
30/09/1884,-167.9029525,289.0349167,1014572933,276.38,0.170051,1.107717967,-0.478189073,-0.345033333,17.36348303,12.21418113,20.67,25.19
31/10/1884,-168.0661469,288.9774687,1015215825,276.3925,0.17003775,1.1077129,-0.4764227,-0.3438,17.35918653,12.21368747,21.2,25.29
30/11/1884,-168.2293413,288.9200208,1015858717,276.405,0.1700245,1.107707833,-0.474656327,-0.342566667,17.35489002,12.2131938,22.37,25.46
31/12/1884,-168.3925356,288.8625729,1016501608,276.4175,0.17001125,1.107702767,-0.472889953,-0.341333333,17.35059352,12.21270014,23.64,25.7
31/01/1885,-168.55573,288.805125,1017144500,276.43,0.169998,1.1076977,-0.47112358,-0.3401,17.34629701,12.21220648,24.97,25.82
28/02/1885,-168.6425356,288.7476771,1018433592,276.4433333,0.169979833,1.10775645,-0.466938583,-0.341241667,17.34200051,12.21171281,26.37,26.47
31/03/1885,-168.7293413,288.6902292,1019722683,276.4566667,0.169961667,1.1078152,-0.462753587,-0.342383333,17.337704,12.21121915,26.29,27.03
30/04/1885,-168.8161469,288.6327813,1021011775,276.47,0.1699435,1.10787395,-0.45856859,-0.343525,17.3334075,12.21072549,25.37,27.32
31/05/1885,-168.9029525,288.5753333,1022300867,276.4833333,0.169925333,1.1079327,-0.454383593,-0.344666667,17.32911099,12.21023182,23.98,27.03
30/06/1885,-168.9897581,288.5178854,1023589958,276.4966667,0.169907167,1.10799145,-0.450198597,-0.345808333,17.32481449,12.20973816,22.38,26.25
31/07/1885,-169.0765638,288.4604375,1024879050,276.51,0.169889,1.1080502,-0.4460136,-0.34695,17.32051798,12.2092445,21.34,25.3
31/08/1885,-169.1633694,288.4029896,1026168142,276.5233333,0.169870833,1.10810895,-0.441828603,-0.348091667,17.31622148,12.20875083,20.8,25.03
30/09/1885,-169.250175,288.3455417,1027457233,276.5366667,0.169852667,1.1081677,-0.437643607,-0.349233333,17.31192497,12.20825717,20.8,25.25
31/10/1885,-169.3369806,288.2880938,1028746325,276.55,0.1698345,1.10822645,-0.43345861,-0.350375,17.30762847,12.20776351,21.25,25.3
30/11/1885,-169.4237863,288.2306458,1030035417,276.5633333,0.169816333,1.1082852,-0.429273613,-0.351516667,17.30333196,12.20726984,22.19,25.49
31/12/1885,-169.5105919,288.1731979,1031324508,276.5766667,0.169798167,1.10834395,-0.425088617,-0.352658333,17.29903546,12.20677618,22.97,25.84
31/01/1886,-169.5973975,288.11575,1032613600,276.59,0.16978,1.1084027,-0.42090362,-0.3538,17.29473895,12.20628252,23.64,25.13
28/02/1886,-170.1946196,288.6345875,1036873092,276.6025,0.169760667,1.108754617,-0.427393798,-0.359758333,17.29044244,12.20578885,25.02,25.68
31/03/1886,-170.7918417,289.153425,1041132583,276.615,0.169741333,1.109106533,-0.433883977,-0.365716667,17.28614594,12.20529519,25.59,26.39
30/04/1886,-171.3890638,289.6722625,1045392075,276.6275,0.169722,1.10945845,-0.440374155,-0.371675,17.28184943,12.20480153,24.82,26.76
31/05/1886,-171.9862858,290.1911,1049651567,276.64,0.169702667,1.109810367,-0.446864333,-0.377633333,17.27755293,12.20430786,23.33,25.88
30/06/1886,-172.5835079,290.7099375,1053911058,276.6525,0.169683333,1.110162283,-0.453354512,-0.383591667,17.27325642,12.2038142,21.72,25.17
31/07/1886,-173.18073,291.228775,1058170550,276.665,0.169664,1.1105142,-0.45984469,-0.38955,17.26895992,12.20332054,20.72,24.56
